depth	min95%	max95%	best	accrate
263	737	1011	931	8.07
264	744	1018	939	8.17
265	751	1026	947	8.27
266	758	1033	955	8.37
267	765	1041	963	8.48
268	773	1048	972	8.59
269	780	1056	981	8.69
270	788	1063	989	8.8
271	796	1071	998	8.91
272	804	1080	1007	9.02
273	813	1088	1016	9.13
274	822	1096	1025	9.24
275	830	1105	1034	9.35
276	839	1113	1044	9.46
277	848	1122	1053	9.58
278	858	1130	1063	9.69
279	867	1139	1072	9.81
280	876	1149	1082	9.92
281	886	1158	1092	10.04
282	896	1167	1102	10.16
283	906	1177	1112	10.28
284	916	1188	1123	10.4
285	926	1197	1133	10.52
286	937	1207	1143	10.64
287	947	1218	1154	10.76
288	958	1229	1165	10.88
289	968	1242	1176	11.01
290	979	1256	1187	11.13
291	990	1271	1198	11.26
292	1000	1287	1209	11.38
293	1011	1301	1221	11.51
294	1022	1316	1232	11.64
295	1034	1330	1244	11.77
296	1045	1347	1255	11.9
297	1056	1362	1267	12.03
298	1067	1377	1279	12.16
299	1079	1394	1292	12.3
300	1090	1411	1304	12.44
301	1102	1429	1316	12.59
302	1114	1445	1329	12.74
303	1126	1462	1342	12.9
304	1140	1480	1355	13.06
305	1154	1497	1368	13.23
306	1167	1516	1381	13.4
307	1182	1536	1394	13.58
308	1196	1555	1408	13.76
309	1211	1573	1422	13.95
310	1225	1591	1436	14.14
311	1240	1611	1450	14.34
312	1253	1631	1464	14.54
313	1267	1652	1479	14.75
314	1283	1672	1493	14.96
315	1299	1693	1508	15.18
316	1315	1714	1523	15.4
317	1331	1735	1539	15.63
318	1347	1756	1554	15.86
319	1364	1777	1570	16.1
320	1381	1798	1586	16.34
321	1398	1820	1603	16.59
322	1414	1842	1619	16.84
323	1429	1864	1636	17.1
324	1445	1887	1653	17.36
325	1461	1910	1671	17.63
326	1477	1933	1688	17.91
327	1494	1956	1706	18.18
328	1511	1978	1724	18.47
329	1530	2002	1743	18.75
330	1549	2025	1762	19.05
331	1567	2049	1781	19.35
332	1584	2073	1800	19.65
333	1603	2097	1820	19.96
334	1623	2122	1840	20.27
335	1641	2147	1860	20.59
336	1659	2173	1880	20.91
337	1677	2199	1901	21.24
338	1696	2225	1923	21.57
339	1716	2251	1944	21.91
340	1736	2278	1966	22.26
341	1757	2304	1988	22.6
342	1779	2331	2011	22.96
343	1802	2359	2034	23.32
344	1825	2386	2057	23.68
345	1848	2414	2081	24.05
346	1871	2443	2105	24.42
347	1895	2471	2129	24.8
348	1918	2501	2154	25.18
349	1942	2531	2179	25.57
350	1967	2561	2205	25.97
351	1992	2592	2231	26.37
