depth	min95%	max95%	best	accrate
228	908	1060	977	5.74
229	913	1066	983	5.74
230	919	1072	988	5.74
231	925	1078	994	5.74
232	931	1084	1000	5.74
233	937	1090	1006	5.74
234	944	1096	1011	5.74
235	950	1102	1017	5.74
236	956	1108	1023	5.74
237	962	1115	1029	5.74
238	968	1121	1034	5.74
239	974	1127	1040	5.74
240	980	1134	1046	5.74
241	986	1140	1051	5.74
242	992	1147	1057	5.74
243	998	1153	1063	5.74
244	1004	1160	1069	5.74
245	1010	1166	1074	5.74
246	1016	1172	1080	5.74
247	1022	1179	1086	5.74
248	1028	1185	1092	5.74
249	1034	1191	1097	5.74
250	1040	1197	1103	5.74
251	1046	1204	1109	5.74
252	1051	1211	1115	5.74
253	1058	1217	1120	5.74
254	1064	1223	1126	5.74
255	1070	1229	1132	5.74
256	1076	1235	1138	5.74
257	1082	1241	1143	5.74
258	1088	1247	1149	5.74
259	1094	1253	1155	5.74
260	1100	1260	1160	5.74
261	1105	1266	1166	5.74
262	1111	1272	1172	5.74
263	1117	1279	1178	5.74
264	1123	1285	1183	5.74
265	1129	1291	1189	5.74
266	1135	1298	1195	5.74
267	1140	1304	1201	5.74
268	1146	1310	1206	5.74
269	1152	1317	1212	5.74
270	1158	1323	1218	5.74
271	1164	1329	1224	5.74
272	1170	1335	1229	5.74
273	1176	1341	1235	5.74
274	1182	1347	1241	5.74
275	1188	1354	1247	5.74
276	1193	1360	1252	5.74
277	1199	1367	1258	5.74
278	1205	1373	1264	5.74
279	1211	1379	1270	5.74
280	1217	1386	1275	5.74
281	1222	1392	1281	5.74
282	1228	1399	1287	5.74
283	1233	1405	1292	5.74
284	1238	1411	1298	5.74
285	1244	1418	1304	5.74
286	1249	1425	1310	5.74
287	1254	1431	1315	5.74
288	1259	1437	1321	5.74
289	1265	1444	1327	5.74
290	1270	1451	1333	5.74
291	1275	1457	1338	5.74
292	1281	1464	1344	5.74
293	1286	1470	1350	5.74
294	1291	1477	1356	5.74
295	1297	1484	1361	5.74
296	1302	1490	1367	5.74
297	1308	1496	1373	5.74
298	1313	1502	1379	12.02
299	1325	1512	1391	12.02
300	1338	1521	1403	12.02
301	1350	1532	1415	12.02
302	1362	1544	1427	12.02
303	1374	1555	1439	12.02
304	1386	1567	1451	12.02
305	1398	1578	1463	12.02
306	1410	1590	1475	12.02
307	1421	1601	1487	12.02
308	1433	1611	1499	12.02
309	1444	1620	1511	12.02
310	1456	1631	1523	12.02
311	1468	1643	1535	12.02
312	1480	1654	1547	12.02
313	1491	1666	1559	12.02
314	1502	1678	1571	12.02
315	1513	1688	1583	12.02
316	1524	1698	1595	12.02
317	1535	1709	1607	12.02
318	1546	1720	1619	12.02
319	1557	1733	1631	12.02
320	1568	1745	1643	12.02
321	1578	1756	1655	12.02
322	1588	1768	1667	12.02
323	1598	1780	1679	12.02
324	1609	1792	1691	12.02
325	1620	1804	1703	12.02
326	1631	1817	1715	12.02
327	1641	1829	1727	12.02
328	1651	1840	1739	12.02
329	1661	1852	1751	12.02
330	1672	1863	1763	12.02
331	1682	1874	1775	12.02
332	1692	1885	1787	12.02
333	1703	1896	1799	12.02
334	1712	1909	1811	12.02
335	1723	1922	1823	12.02
336	1733	1933	1835	12.02
337	1742	1945	1847	12.02
338	1751	1956	1859	12.02
339	1762	1967	1871	12.02
340	1772	1981	1883	12.02
341	1782	1992	1896	12.02
342	1792	2004	1908	12.02
343	1802	2016	1920	12.02
344	1813	2029	1932	12.02
345	1823	2043	1944	12.02
346	1832	2057	1956	12.02
347	1842	2071	1968	12.02
348	1852	2083	1980	12.02
349	1862	2096	1992	12.02
350	1872	2108	2004	12.02
351	1883	2122	2016	12.02
352	1892	2136	2028	12.02
353	1902	2149	2040	12.02
354	1911	2162	2052	12.02
355	1920	2173	2064	12.02
356	1930	2186	2076	12.02
357	1939	2198	2088	12.02
358	1949	2211	2100	12.02
359	1959	2224	2112	12.02
360	1969	2237	2124	12.02
361	1979	2251	2136	12.02
362	1987	2264	2148	12.02
363	1996	2278	2160	12.02
364	2006	2292	2172	12.02
365	2017	2306	2184	7.84
366	2026	2312	2192	7.84
367	2036	2318	2200	7.84
368	2046	2325	2208	7.84
369	2056	2331	2215	7.84
370	2066	2337	2223	7.84
371	2076	2344	2231	7.84
372	2085	2351	2239	7.84
373	2094	2357	2247	7.84
374	2105	2364	2255	7.84
375	2115	2370	2262	7.84
376	2125	2377	2270	7.84
377	2135	2384	2278	7.84
378	2144	2391	2286	7.84
379	2155	2398	2294	7.84
380	2165	2404	2302	7.84
381	2174	2411	2310	7.84
382	2184	2417	2317	7.84
383	2194	2424	2325	7.84
384	2205	2431	2333	7.84
385	2215	2438	2341	7.84
386	2225	2445	2349	7.84
387	2235	2452	2357	7.84
388	2245	2458	2364	7.84
389	2255	2464	2372	7.84
390	2263	2471	2380	7.84
391	2274	2478	2388	7.84
392	2284	2485	2396	7.84
393	2293	2492	2404	7.84
394	2303	2498	2411	7.84
395	2313	2506	2419	7.84
396	2323	2513	2427	7.84
397	2333	2520	2435	7.84
